Fight ID,Date,Red fighter,Blue fighter,Focal ID,Winner,Focal colour,Focal Outcome,Sex,Foc_Sig Str %,Z_Foc Sig Str %,Foc_Att strikes per sec,Z_Foc_Att strikes per sec,Method,Method_B
410,29/06/2019,Maurice Greene,Junior Albini,Junior Albini,Red,Blue,Loser,M,43,-0.111445146,0.22,0.059416635,KO/TKO,Defeat
411,22/06/2019,Renato Moicano,Chan Sung Jung,Renato Moicano,Blue,Red,Loser,M,0,-2.981492599,0.05,-1.093761218,KO/TKO,Defeat
412,22/06/2019,Bryan Barberena,Randy Brown,Randy Brown,Blue,Blue,Winner,M,58,0.889734198,0.52,2.094436374,KO/TKO,Defeat
413,22/06/2019,Matt Wiman,Luis Pena,Matt Wiman,Blue,Red,Loser,M,57,0.822988909,0.24,0.195084617,KO/TKO,Defeat
414,22/06/2019,Allen Crowder,Jairzinho Rozenstruik,Jairzinho Rozenstruik,Blue,Blue,Winner,M,100,3.693036362,0.44,1.551764444,KO/TKO,Defeat
415,08/06/2019,Henry Cejudo,Marlon Moraes,Henry Cejudo,Red,Red,Winner,M,52,0.489262461,0.44,1.551764444,KO/TKO,Defeat
416,08/06/2019,Valentina Shevchenko,Jessica Eye,Jessica Eye,Red,Blue,Loser,F,16,-1.913567966,0.6,2.637108305,KO/TKO,Defeat
417,08/06/2019,Ricardo Lamas,Calvin Kattar,Ricardo Lamas,Blue,Red,Loser,M,41,-0.244935725,0.12,-0.618923278,KO/TKO,Defeat
418,08/06/2019,Eddie Wineland,Grigorii Popov,Grigorii Popov,Red,Blue,Loser,M,36,-0.578662173,0.43,1.483930453,KO/TKO,Defeat
419,01/06/2019,Jimi Manuwa,Aleksandar Rakic,Jimi Manuwa,Blue,Red,Loser,M,66,1.423696515,0.06,-1.025927226,KO/TKO,Defeat
420,01/06/2019,Stevie Ray,Leonardo Santos,Leonardo Santos,Blue,Blue,Winner,M,75,2.024404122,0.12,-0.618923278,KO/TKO,Defeat
421,01/06/2019,Nick Hein,Frank Camacho,Nick Hein,Blue,Red,Loser,M,46,0.088790723,0.24,0.195084617,KO/TKO,Defeat
422,01/06/2019,Joel Alvarez,Danilo Belluardo,Danilo Belluardo,Red,Blue,Loser,M,65,1.356951226,0.34,0.873424531,KO/TKO,Defeat
423,18/05/2019,Vicente Luque,Derrick Krantz,Vicente Luque,Red,Red,Winner,M,72,1.824168253,0.11,-0.68675727,KO/TKO,Defeat
424,18/05/2019,Charles Oliveira,Nik Lentz,Nik Lentz,Red,Blue,Loser,M,36,-0.578662173,0.28,0.466420583,KO/TKO,Defeat
425,18/05/2019,Danny Roberts,Michel Pereira,Danny Roberts,Blue,Red,Loser,M,50,0.355771881,0.04,-1.161595209,KO/TKO,Defeat
426,18/05/2019,Patrick Cummins,Ed Herman,Ed Herman,Blue,Blue,Winner,M,31,-0.912388621,0.17,-0.279753322,KO/TKO,Defeat
427,18/05/2019,Julio Arce,Julian Erosa,Julio Arce,Red,Red,Winner,M,46,0.088790723,0.7,3.315448218,KO/TKO,Defeat
428,11/05/2019,Rose Namajunas,Jessica Andrade,Jessica Andrade,Blue,Blue,Winner,F,44,-0.044699856,0.45,1.619598435,KO/TKO,Defeat
429,11/05/2019,Jared Cannonier,Anderson Silva,Jared Cannonier,Red,Red,Winner,M,54,0.62275304,0.11,-0.68675727,KO/TKO,Defeat
430,11/05/2019,Rogerio Nogueira,Ryan Spann,Ryan Spann,Blue,Blue,Winner,M,40,-0.311681015,0.25,0.262918609,KO/TKO,Defeat
431,11/05/2019,Warlley Alves,Sergio Moraes,Warlley Alves,Red,Red,Winner,M,45,0.022045433,0.42,1.416096461,KO/TKO,Defeat
432,11/05/2019,Raoni Barcelos,Carlos Huachin,Carlos Huachin,Red,Blue,Loser,M,15,-1.980313255,0.31,0.669922557,KO/TKO,Defeat
433,11/05/2019,Talita Bernado,Viviane Araujo,Talita Bernado,Blue,Red,Loser,F,33,-0.778898042,0.84,4.265124097,KO/TKO,Defeat
434,04/05/2019,Walt Harris,Serghei Spivac,Serghei Spivac,Red,Blue,Loser,M,33,-0.778898042,0.06,-1.025927226,KO/TKO,Defeat
435,04/05/2019,Macy Chiasson,Sarah Moras,Macy Chiasson,Red,Red,Winner,F,65,1.356951226,0.53,2.162270366,KO/TKO,Defeat
436,27/04/2019,Greg Hardy,Dmitrii Smoliakov,Dmitrii Smoliakov,Red,Blue,Loser,M,33,-0.778898042,0.02,-1.297263192,KO/TKO,Defeat
437,27/04/2019,Ben Saunders,Takashi Sato,Ben Saunders,Blue,Red,Loser,M,51,0.422517171,0.66,3.044112253,KO/TKO,Defeat
438,20/04/2019,Alistair Overeem,Aleksei Oleinik,Aleksei Oleinik,Red,Blue,Loser,M,65,1.356951226,0.35,0.941258522,KO/TKO,Defeat
439,20/04/2019,Sergei Pavlovich,Marcelo Golm,Sergei Pavlovich,Red,Red,Winner,M,65,1.356951226,0.39,1.212594487,KO/TKO,Defeat
440,20/04/2019,Marcin Tybura,Shamil Abdurakhimov,Shamil Abdurakhimov,Blue,Blue,Winner,M,41,-0.244935725,0.34,0.873424531,KO/TKO,Defeat
441,20/04/2019,Gadzhimurad Antigulov,Michal Oleksiejczuk,Gadzhimurad Antigulov,Blue,Red,Loser,M,46,0.088790723,0.3,0.602088565,KO/TKO,Defeat
442,20/04/2019,Magomed Mustafaev,Rafael Fiziev,Rafael Fiziev,Red,Blue,Loser,M,100,3.693036362,0.01,-1.365097183,KO/TKO,Defeat
443,13/04/2019,Wilson Reis,Alexandre Pantoja,Wilson Reis,Blue,Red,Loser,M,16,-1.913567966,0.04,-1.161595209,KO/TKO,Defeat
445,30/03/2019,Edson Barboza,Justin Gaethje,Justin Gaethje,Blue,Blue,Winner,M,57,0.822988909,0.25,0.262918609,KO/TKO,Defeat
446,30/03/2019,Josh Emmett,Michael Johnson,Josh Emmett,Red,Red,Winner,M,25,-1.312860359,0.23,0.127250626,KO/TKO,Defeat
447,30/03/2019,Ross Pearson,Desmond Green,Desmond Green,Blue,Blue,Winner,M,78,2.224639991,0.19,-0.144085339,KO/TKO,Defeat
448,23/03/2019,Stephen Thompson,Anthony Pettis,Stephen Thompson,Blue,Red,Loser,M,43,-0.111445146,0.3,0.602088565,KO/TKO,Defeat
449,23/03/2019,Maycee Barber,JJ Aldrich,JJ Aldrich,Red,Blue,Loser,F,29,-1.045879201,0.37,1.076926505,KO/TKO,Defeat
450,23/03/2019,Marlon Vera,Frankie Saenz,Marlon Vera,Red,Red,Winner,M,75,2.024404122,0.2,-0.076251348,KO/TKO,Defeat
451,16/03/2019,Darren Till,Jorge Masvidal,Jorge Masvidal,Blue,Blue,Winner,M,48,0.222281302,0.32,0.737756548,KO/TKO,Defeat
452,16/03/2019,Mike Grundy,Nad Narimani,Mike Grundy,Red,Red,Winner,M,58,0.889734198,0.17,-0.279753322,KO/TKO,Defeat
453,09/03/2019,Derrick Lewis,Junior Dos Santos,Junior Dos Santos,Blue,Blue,Winner,M,52,0.489262461,0.31,0.669922557,KO/TKO,Defeat
454,09/03/2019,Tim Means,Niko Price,Tim Means,Blue,Red,Loser,M,64,1.290205936,0.19,-0.144085339,KO/TKO,Defeat
455,09/03/2019,Alex Morono,Zak Ottow,Zak Ottow,Red,Blue,Loser,M,32,-0.845643332,0.14,-0.483255296,KO/TKO,Defeat
456,02/03/2019,Cody Garbrandt,Pedro Munhoz,Cody Garbrandt,Blue,Red,Loser,M,35,-0.645407463,0.21,-0.008417357,KO/TKO,Defeat
457,02/03/2019,Misha Cirkunov,Johnny Walker,Johnny Walker,Blue,Blue,Winner,M,50,0.355771881,0.22,0.059416635,KO/TKO,Defeat
458,02/03/2019,Diego Sanchez,Mickey Gall,Diego Sanchez,Red,Red,Winner,M,64,1.290205936,0.29,0.534254574,KO/TKO,Defeat
459,02/03/2019,Edmen Shahbazyan,Charles Byrd,Charles Byrd,Red,Blue,Loser,M,16,-1.913567966,0.16,-0.347587313,KO/TKO,Defeat
460,02/03/2019,Gina Mazany,Macy Chiasson,Gina Mazany,Blue,Red,Loser,F,56,0.756243619,0.33,0.805590539,KO/TKO,Defeat
461,23/02/2019,Jan Blachowicz,Thiago Santos,Thiago Santos,Blue,Blue,Winner,M,50,0.355771881,0.65,2.976278262,KO/TKO,Defeat
462,23/02/2019,Gian Villante,Michal Oleksiejczuk,Gian Villante,Blue,Red,Loser,M,45,0.022045433,0.21,-0.008417357,KO/TKO,Defeat
463,23/02/2019,Dwight Grant,Carlo Pedersoli,Carlo Pedersoli,Red,Blue,Loser,M,37,-0.511916884,0.15,-0.415421305,KO/TKO,Defeat
464,23/02/2019,Damir Hadzovic,Marco Polo Reyes,Damir Hadzovic,Red,Red,Winner,M,53,0.55600775,0.66,3.044112253,KO/TKO,Defeat
465,14/03/2020,Kevin Lee,Charles Oliveira,Charles Oliveira,Blue,Blue,Winner,M,66,1.423696515,0.12,-0.618923278,Submission,Defeat
466,14/03/2020,Renato Moicano,Damir Hadzovic,Renato Moicano,Red,Red,Winner,M,50,0.355771881,0.11,-0.68675727,Submission,Defeat
467,07/03/2020,Rodolfo Vieira,Sapabeg Safarov,Sapabeg Safarov,Red,Blue,Loser,M,50,0.355771881,0.07,-0.958093235,Submission,Defeat
468,07/03/2020,Gerald Meerschaert,Deron Winn,Gerald Meerschaert,Red,Red,Winner,M,45,0.022045433,0.26,0.3307526,Submission,Defeat
469,29/02/2020,Grant Dawson,Darrick Minner,Darrick Minner,Red,Blue,Loser,M,57,0.822988909,0.07,-0.958093235,Submission,Defeat
470,29/02/2020,Jordan Griffin,TJ Brown,Jordan Griffin,Red,Red,Winner,M,65,1.356951226,0.05,-1.093761218,Submission,Defeat
471,22/02/2020,Jimmy Crute,Michal Oleksiejczuk,Michal Oleksiejczuk,Red,Blue,Loser,M,50,0.355771881,0.05,-1.093761218,Submission,Defeat
472,15/02/2020,Tim Means,Daniel Rodriguez,Tim Means,Blue,Red,Loser,M,43,-0.111445146,0.18,-0.211919331,Submission,Defeat
473,25/01/2020,Jordan Espinosa,Alex Perez,Alex Perez,Blue,Blue,Winner,M,22,-1.513096228,0.15,-0.415421305,Submission,Defeat
474,25/01/2020,Brett Johns,Tony Gravely,Brett Johns,Red,Red,Winner,M,76,2.091149411,0.1,-0.754591261,Submission,Defeat
475,18/01/2020,Aleksei Oleinik,Maurice Greene,Maurice Greene,Red,Blue,Loser,M,44,-0.044699856,0.09,-0.822425252,Submission,Defeat
476,18/01/2020,Brian Kelleher,Ode Osbourne,Brian Kelleher,Red,Red,Winner,M,58,0.889734198,0.2,-0.076251348,Submission,Defeat
477,18/01/2020,Anthony Pettis,Diego Ferreira,Diego Ferreira,Blue,Blue,Winner,M,47,0.155536012,0.18,-0.211919331,Submission,Defeat
478,21/12/2019,Miranda Granger,Amanda Lemos,Miranda Granger,Blue,Red,Loser,F,50,0.355771881,0.04,-1.161595209,Submission,Defeat
479,07/12/2019,Thiago Alves,Tim Means,Tim Means,Blue,Blue,Winner,M,56,0.756243619,0.27,0.398586591,Submission,Defeat
480,07/12/2019,Billy Quarantillo,Jacob Kilburn,Billy Quarantillo,Red,Red,Winner,M,86,2.758602307,0.64,2.90844427,Submission,Defeat
481,07/12/2019,Bryce Mitchell,Matt Sayles,Matt Sayles,Red,Blue,Loser,M,50,0.355771881,0.03,-1.2294292,Submission,Defeat
482,07/12/2019,Virna Jandiroba,Mallory Martin,Virna Jandiroba,Red,Red,Winner,F,35,-0.645407463,0.26,0.3307526,Submission,Defeat
483,16/11/2019,Ricardo Ramos,Eduardo Garagorri,Eduardo Garagorri,Red,Blue,Loser,M,37,-0.511916884,0.07,-0.958093235,Submission,Defeat
484,16/11/2019,Warlley Alves,Randy Brown,Warlley Alves,Blue,Red,Loser,M,27,-1.17936978,0.05,-1.093761218,Submission,Defeat
485,09/11/2019,Roman Kopylov,Karl Roberson,Karl Roberson,Blue,Blue,Winner,M,36,-0.578662173,0.32,0.737756548,Submission,Defeat
486,09/11/2019,Abubakar Nurmagomedov,David Zawada,Abubakar Nurmagomedov,Blue,Red,Loser,M,44,-0.044699856,0.2,-0.076251348,Submission,Defeat
487,26/10/2019,Demian Maia,Ben Askren,Ben Askren,Red,Blue,Loser,M,49,0.289026592,0.47,1.755266418,Submission,Defeat
488,26/10/2019,Frank Camacho,Beneil Dariush,Frank Camacho,Blue,Red,Loser,M,33,-0.778898042,0.07,-0.958093235,Submission,Defeat
489,26/10/2019,Ciryl Gane,Don'Tale Mayes,Don'Tale Mayes,Red,Blue,Loser,M,26,-1.246115069,0.33,0.805590539,Submission,Defeat
490,18/10/2019,Charles Rosa,Manny Bermudez,Charles Rosa,Red,Red,Winner,M,75,2.024404122,0.07,-0.958093235,Submission,Defeat
491,18/10/2019,Brendan Allen,Kevin Holland,Kevin Holland,Red,Blue,Loser,M,57,0.822988909,0.2,-0.076251348,Submission,Defeat
492,12/10/2019,Ryan Spann,Devin Clark,Ryan Spann,Red,Red,Winner,M,35,-0.645407463,0.27,0.398586591,Submission,Defeat
493,12/10/2019,Deiveson Figueiredo,Tim Elliott,Tim Elliott,Red,Blue,Loser,M,68,1.557187094,0.24,0.195084617,Submission,Defeat
494,05/10/2019,Tai Tuivasa,Serghei Spivac,Tai Tuivasa,Blue,Red,Loser,M,42,-0.178190436,0.2,-0.076251348,Submission,Defeat
495,05/10/2019,Megan Anderson,Zarah Fairn,Zarah Fairn,Red,Blue,Loser,F,40,-0.311681015,0.19,-0.144085339,Submission,Defeat
496,05/10/2019,Khalid Taha,Bruno Silva,Khalid Taha,Red,Red,Winner,M,43,-0.111445146,0.42,1.416096461,Submission,Defeat
497,28/09/2019,Michal Oleksiejczuk,Ovince Saint Preux,Ovince Saint Preux,Blue,Blue,Winner,M,29,-1.045879201,0.24,0.195084617,Submission,Defeat
498,28/09/2019,Jack Shore,Nohelin Hernandez,Jack Shore,Red,Red,Winner,M,50,0.355771881,0.48,1.823100409,Submission,Defeat
499,21/09/2019,Vinicius Moreira,Paul Craig,Paul Craig,Blue,Blue,Winner,M,66,1.423696515,0.22,0.059416635,Submission,Defeat
500,14/09/2019,Misha Cirkunov,Jimmy Crute,Misha Cirkunov,Red,Red,Winner,M,60,1.023224777,0.13,-0.551089287,Submission,Defeat
501,07/09/2019,Khabib Nurmagomedov,Dustin Poirer,Dustin Poirer,Red,Blue,Loser,M,30,-0.979133911,0.23,0.127250626,Submission,Defeat
502,07/09/2019,Belal Muhammad,Takashi Sato,Belal Muhammad,Red,Red,Winner,M,46,0.088790723,0.63,2.840610279,Submission,Defeat
503,31/08/2019,Jun Yong Park,Anthony Hernandez,Anthony Hernandez,Blue,Blue,Winner,M,53,0.55600775,0.38,1.144760496,Submission,Defeat
504,31/08/2019,Da-Un Jung,Khadis Ibragimov,Da-Un Jung,Red,Red,Winner,M,42,-0.178190436,0.82,4.129456114,Submission,Defeat
505,10/08/2019,Rodolfo Vieira,Oskar Piechota,Oskar Piechota,Red,Blue,Loser,M,51,0.422517171,0.23,0.127250626,Submission,Defeat
506,10/08/2019,Ciryl Gane,Raphael Pessoa,Ciryl Gane,Red,Red,Winner,M,68,1.557187094,0.11,-0.68675727,Submission,Defeat
507,10/08/2019,Veronica Macedo,Polyana Viana,Polyana Viana,Red,Blue,Loser,F,33,-0.778898042,0.04,-1.161595209,Submission,Defeat
508,03/08/2019,Jim Miller,Clay Guida,Jim Miller,Red,Red,Winner,M,25,-1.312860359,0.14,-0.483255296,Submission,Defeat
509,03/08/2019,Trevin Giles,Gerald Meerschaert,Gerald Meerschaert,Blue,Blue,Winner,M,31,-0.912388621,0.24,0.195084617,Submission,Defeat
510,03/08/2019,Antonina Shevchenko,Lucie Pudilova,Antonina Shevchenko,Red,Red,Winner,F,69,1.623932384,0.31,0.669922557,Submission,Defeat
511,03/08/2019,Jordan Espinosa,Matt Schnell,Matt Schnell,Blue,Blue,Winner,M,25,-1.312860359,0.14,-0.483255296,Submission,Defeat
512,03/08/2019,Claudio Silva,Cole Williams,Claudio Silva,Red,Red,Winner,M,86,2.758602307,0.25,0.262918609,Submission,Defeat
513,27/07/2019,Gavin Tucker,SeungWoo Choi,SeungWoo Choi,Red,Blue,Loser,M,23,-1.446350938,0.37,1.076926505,Submission,Defeat
514,06/07/2019,Marlon Vera,Nohelin Hernandez,Marlon Vera,Red,Red,Winner,M,37,-0.511916884,0.2,-0.076251348,Submission,Defeat
515,06/07/2019,Edmen Shahbazyan,Jack Marshman,Jack Marshman,Red,Blue,Loser,M,0,-2.981492599,0.1,-0.754591261,Submission,Defeat
516,29/06/2019,Emily Whitmire,Amanda Ribas,Emily Whitmire,Blue,Red,Loser,F,28,-1.11262449,0.19,-0.144085339,Submission,Defeat
517,01/06/2019,Alexander Gustafsson,Anthony Smith,Anthony Smith,Blue,Blue,Winner,M,47,0.155536012,0.32,0.737756548,Submission,Defeat
518,01/06/2019,Makwan Amirkhani,Chris Fishgold,Makwan Amirkhani,Red,Red,Winner,M,33,-0.778898042,0.11,-0.68675727,Submission,Defeat
519,01/06/2019,Bea Malecki,Duda Santana,Duda Santana,Red,Blue,Loser,F,26,-1.246115069,0.46,1.687432426,Submission,Defeat
520,18/05/2019,Rafael Dos Anjos,Kevin Lee,Rafael Dos Anjos,Red,Red,Winner,M,54,0.62275304,0.31,0.669922557,Submission,Defeat
521,18/05/2019,Megan Anderson,Felicia Spencer,Felicia Spencer,Blue,Blue,Winner,F,70,1.690677674,0.17,-0.279753322,Submission,Defeat
522,18/05/2019,Michael Trizano,Grant Dawson,Michael Trizano,Blue,Red,Loser,M,48,0.222281302,0.22,0.059416635,Submission,Defeat
523,18/05/2019,Zak Cummings,Trevin Giles,Trevin Giles,Red,Blue,Loser,M,48,0.222281302,0.19,-0.144085339,Submission,Defeat
524,11/05/2019,Irene Aldana,Bethe Correia,Irene Aldana,Red,Red,Winner,F,33,-0.778898042,0.77,3.790286158,Submission,Defeat
525,04/05/2019,Kyle Nelson,Matt Sayles,Matt Sayles,Blue,Blue,Winner,M,51,0.422517171,0.57,2.433606331,Submission,Defeat
526,27/04/2019,Glover Teixeira,Ion Cutelaba,Glover Teixeira,Red,Red,Winner,M,52,0.489262461,0.23,0.127250626,Submission,Defeat
527,27/04/2019,Gilbert Burns,Mike Davis,Mike Davis,Red,Blue,Loser,M,29,-1.045879201,0.16,-0.347587313,Submission,Defeat
528,27/04/2019,Jim Miller,Jason Gonzalez,Jim Miller,Red,Red,Winner,M,54,0.62275304,0.11,-0.68675727,Submission,Defeat
529,20/04/2019,Alexander Yakovlev,Alex Da Silva,Alex Da Silva,Red,Blue,Loser,M,42,-0.178190436,0.09,-0.822425252,Submission,Defeat
530,13/04/2019,Ovince Saint Preux,Nikita Krylov,Ovince Saint Preux,Blue,Red,Loser,M,50,0.355771881,0.08,-0.890259244,Submission,Defeat
531,13/04/2019,Brandon Davis,Randy Costa,Randy Costa,Red,Blue,Loser,M,45,0.022045433,0.79,3.92595414,Submission,Defeat
532,30/03/2019,David Branch,Jack Hermansson,David Branch,Blue,Red,Loser,M,16,-1.913567966,0.12,-0.618923278,Submission,Defeat
533,30/03/2019,Kennedy Nzechukwu,Paul Craig,Paul Craig,Blue,Blue,Winner,M,32,-0.845643332,0.22,0.059416635,Submission,Defeat
534,23/03/2019,Randa Markos,Angela Hill,Randa Markos,Red,Red,Winner,F,50,0.355771881,0.13,-0.551089287,Submission,Defeat
535,16/03/2019,Nathaniel Wood,Jose Quinonez,Jose Quinonez,Red,Blue,Loser,M,56,0.756243619,0.27,0.398586591,Submission,Defeat
536,16/03/2019,Danny Roberts,Claudio Silva,Danny Roberts,Blue,Red,Loser,M,57,0.822988909,0.19,-0.144085339,Submission,Defeat
537,16/03/2019,Danny Henry,Dan Ige,Dan Ige,Blue,Blue,Winner,M,58,0.889734198,0.22,0.059416635,Submission,Defeat
538,09/03/2019,Elizeu Zaleski dos Santos,Curtis Millender,Elizeu Zaleski dos Santos,Red,Red,Winner,M,66,1.423696515,0.08,-0.890259244,Submission,Defeat
539,09/03/2019,Beneil Dariush,Drew Dober,Drew Dober,Red,Blue,Loser,M,53,0.55600775,0.19,-0.144085339,Submission,Defeat
540,09/03/2019,Louis Smolka,Matt Schnell,Louis Smolka,Blue,Red,Loser,M,54,0.62275304,0.13,-0.551089287,Submission,Defeat
541,02/03/2019,Robbie Lawler,Ben Askren,Ben Askren,Blue,Blue,Winner,M,0,-2.981492599,0.02,-1.297263192,Submission,Defeat
542,23/02/2019,Stefan Struve,Marcos Rogerio de Lima,Stefan Struve,Red,Red,Winner,M,0,-2.981492599,0.03,-1.2294292,Submission,Defeat
543,23/02/2019,Daniel Teymur,Chris Fishgold,Chris Fishgold,Blue,Blue,Winner,M,43,-0.111445146,0.3,0.602088565,Submission,Defeat
544,23/02/2019,Veronica Macedo,Gillian Robertson,Veronica Macedo,Blue,Red,Loser,F,56,0.756243619,0.21,-0.008417357,Submission,Defeat
545,02/11/2019,Jorge Masvidal,Nate Diaz,Nate Diaz,Red,Blue,Loser,M,41,-0.244935725,0.22,0.059416635,TKO (Doctor's stoppage),Defeat
546,21/09/2019,Ariane Carnelossi,Angela Hill,Ariane Carnelossi,Blue,Red,Loser,F,38,-0.445171594,0.83,4.197290105,TKO (Doctor's stoppage),Defeat
547,10/08/2019,Rogerio Bontorin,Raulian Paiva,Raulian Paiva,Red,Blue,Loser,M,20,-1.646586807,0.11,-0.68675727,TKO (Doctor's stoppage),Defeat
548,03/08/2019,Scott Holtzman,Dong Hyun Ma,Scott Holtzman,Red,Red,Winner,M,47,0.155536012,0.18,-0.211919331,TKO (Doctor's stoppage),Defeat
549,08/06/2019,Tony Ferguson,Donald Cerrone,Donald Cerrone,Red,Blue,Loser,M,36,-0.578662173,0.31,0.669922557,TKO (Doctor's stoppage),Defeat
